"probe_id","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"cg20253920","DUSP4",-0.22387309306472,0.773729741597024,-6.18471905443207,1.44038213058743e-09,5.27193695267058e-09,11.073729504437
"cg00864661","MAPK10",-0.212505231103852,0.526401019358528,-6.14983041374396,1.76411159229532e-09,6.3772727375231e-09,10.8766741743943
"cg10978799","IL10",-0.220393865652215,0.60517093389233,-6.14132077213759,1.8532837579062e-09,6.67968476605989e-09,10.828752421566
"cg21222743","TNF",-0.174716597921216,0.406297178653246,-6.08452990411274,2.57194853697396e-09,9.082955593203e-09,10.5103640105472
"cg06578111","HDAC11",-0.0984659614923816,0.722924827240722,-6.07521149820677,2.71340274205891e-09,9.55146077717979e-09,10.4583595468456
"cg05952498","TNF",-0.205431111839352,0.61724922577567,-6.05873498529369,2.98234800055879e-09,1.0436616999164e-08,10.3665711889571
"cg21243631","NPC1",-0.135887479220255,0.264886311675209,-6.03635124468613,3.38981122082775e-09,1.17738379765527e-08,10.2422112029217
"cg14789529","IL10",-0.14302942935403,0.777626768256968,-5.85195796148662,9.59564700960011e-09,3.12678741113999e-08,9.23260562959305
"cg06545019","KLF4",0.157854104942287,0.318069816093738,5.82762281265923,1.09868635325005e-08,3.55133634636135e-08,9.10135449468174
"cg01199888","IL37",-0.117763644490534,0.839707371985311,-5.74971065038704,1.68967099765151e-08,5.32083871746256e-08,8.68428292878817
"cg21091547","CDKN1A",-0.0894659438134116,0.266320541103957,-5.64889508726432,2.92865188555064e-08,8.92411749571596e-08,8.15176129467704
"cg12681001","TNF",-0.169577916623249,0.410603681611004,-5.63805902640945,3.10555174803894e-08,9.43223136536847e-08,8.09500647881318
"cg17067005","IL10",-0.197018859869551,0.766739294303575,-5.60282383657605,3.7556774325487e-08,1.12809830368366e-07,7.91110927045329
"cg01604411","TGFB1",-0.160160244705602,0.399557462685787,-5.52225443698515,5.77923609696364e-08,1.69047582976268e-07,7.49435581085114
"cg15096505","IL10",-0.15370057293256,0.747420141179232,-5.42546040384063,9.63453554614659e-08,2.73459311032805e-07,7.00061433128515
"cg11909137","SMAD7",0.162956584832954,0.477558553832978,5.41773560951436,1.00324496128861e-07,2.84019029268756e-07,6.96153823525065
"cg04472685","TNF",-0.108162020187402,0.707572446722936,-5.34306551428591,1.47996156241903e-07,4.09483191591502e-07,6.58632555849331
"cg22153696","CCDC110",-0.172722867087383,0.752479149105094,-5.33053214634935,1.5790770113364e-07,4.35142086026389e-07,6.52379275294106
"cg17243289","SMAD2",-0.139728276885075,0.439295379510452,-5.29597015261665,1.88693828496397e-07,5.14463017000941e-07,6.3520194934093
"cg07285675","TGFBR2",-0.12667353694413,0.349706533177786,-5.21575871431822,2.84245871145416e-07,7.56473859167398e-07,5.95715295983406
"cg07151117","DUSP4",-0.152442833409206,0.479939319382225,-5.20259418798243,3.03868066547941e-07,8.05749736500454e-07,5.89285325948233
"cg18070061","DUSP4",0.15613563582579,0.171623094252451,5.18187649275683,3.37433256710968e-07,8.88911719284811e-07,5.79195175427935
"cg18900812","CDKN1A",-0.0852476331516116,0.181750195602623,-5.16076822726797,3.75314504243981e-07,9.82376128088781e-07,5.68951358973168
"cg17741993","TNF",-0.177005539134163,0.667293048413053,-5.12163734929436,4.56715688735018e-07,1.18129950593444e-06,5.50058972442532
"cg14200979","SNAI1",0.146408344967963,0.246036712460182,5.10624343159567,4.932158851217e-07,1.26998639552946e-06,5.42661669658252
"cg16677528","IL37",-0.0788939569313616,0.840164109372239,-5.0846213653979,5.49285608191473e-07,1.40485052678852e-06,5.32304848221345
"cg19123749","DUSP4",-0.123110101978285,0.835002369108558,-5.04827586565003,6.57708390889759e-07,1.66365506646961e-06,5.14983461970332
"cg23384708","TNF",-0.112084007135595,0.638360551447593,-5.04766371537214,6.59700946368639e-07,1.6684561376954e-06,5.14692670669237
"cg26841309","IL37",-0.112987755333329,0.814604759187226,-5.0116116764457,7.87927759031265e-07,1.97034020627609e-06,4.97622068664397
"cg09637172","TNF",-0.188172460876742,0.718408287184723,-4.95872308425672,1.02052964857492e-06,2.5114757039428e-06,4.72776539972383
"cg16109731","DUSP10",-0.15350584891974,0.636522364818353,-4.94041505137847,1.11553767150577e-06,2.73170505938584e-06,4.64230724526129
"cg05403071","SNAI1",0.137584435928787,0.245275437272943,4.92284710019211,1.21470052340199e-06,2.9573393195641e-06,4.56056899484904
"cg09501821","SMAD3",-0.0739652369640902,0.274605508932768,-4.81907750217919,1.99852263872754e-06,4.71623026792448e-06,4.08307887247905
"cg18197963","DUSP4",-0.149041557929244,0.732643615503324,-4.75959342756119,2.64816958061076e-06,6.14041803585216e-06,3.81348404745497
"cg07912766","SMAD2",-0.170988656825343,0.717780050170016,-4.75631881996846,2.68929507793628e-06,6.22950486553458e-06,3.79873027571051
"cg22815953","SNAI1",0.162353741273276,0.23220477306336,4.74688058494116,2.81129910289217e-06,6.49634762429063e-06,3.7562573764518
"cg06568490","HDAC11",-0.112992521413976,0.764410747784175,-4.69604856726702,3.56564225413477e-06,8.11765152863502e-06,3.52881652221428
"cg20419623","SNAI1",0.168529207683716,0.215004746002703,4.60019511198157,5.54996148185273e-06,1.22982186771831e-05,3.10595546930763
"cg21424782","SNAI1",0.154985398239022,0.227278174977529,4.56557256057619,6.49961045046591e-06,1.42527373842938e-05,2.95515909885365
"cg00364615","SMAD3",-0.087781089275274,0.67187003906695,-4.51609840646412,8.13135831112059e-06,1.75819814165083e-05,2.74147316728367
"cg05418877","DUSP4",0.111476460087207,0.116940383404832,4.51460889453604,8.18612026706661e-06,1.76929866041745e-05,2.73507257349034
"cg09603024","SNAI1",0.150171154859749,0.208894320751691,4.46425855608071,1.02599518525955e-05,2.18647453547527e-05,2.51984261696518
"cg21840948","SNAI1",-0.13743073885815,0.731544140726243,-4.42797233954279,1.20573816572635e-05,2.54329842223169e-05,2.36609635889691
"cg23731272","SMAD3",-0.119066203545606,0.300387372989742,-4.35748128326584,1.64469914493998e-05,3.40264250325794e-05,2.07070023200317
"cg12625824","IL37",-0.0711722727504862,0.876015472430147,-4.33215468155378,1.83692320158594e-05,3.77287820078718e-05,1.96562742291997
"cg13105599","SMAD3",-0.0838960497680683,0.336165416571154,-4.26208177571247,2.4871088338373e-05,5.01887229631581e-05,1.67784335199494
"cg27130493","SMAD3",-0.0736100519423845,0.829749776164916,-4.23833298883536,2.75354441107486e-05,5.51988146354478e-05,1.58128723439488
"cg09840472","IL6",-0.088750786797021,0.848838604764547,-4.15973791773899,3.84320556143309e-05,7.54604103252775e-05,1.26528474677113
"cg05976753","DUSP4",0.0991391295216227,0.146442860906539,4.15560351027254,3.9106440395492e-05,7.67084805628226e-05,1.24881277986661
"cg05576828","DUSP4",-0.104848032147557,0.655223448823045,-4.15248254282674,3.96229670152354e-05,7.76536915372833e-05,1.23638849039522
"cg24379915","DUSP4",-0.129335713805649,0.426821673903494,-4.14510899616111,4.08692355526889e-05,7.99242822119188e-05,1.20706929427818
"cg14475702","KLF4",0.124118691011339,0.160956943692419,4.11917264815915,4.55561464742847e-05,8.84677924066513e-05,1.10432182574951
"cg20356637","SMAD3",-0.0758933501320019,0.299809670529471,-4.10085963763697,4.91688914583954e-05,9.50011446613994e-05,1.03213341692236
"cg01360627","TNF",-0.122244214455493,0.707043783289371,-4.05608837859868,5.91835721736743e-05,0.000113017177739302,0.856902177037071
"cg26376346","TGFBR2",-0.0871651715055866,0.324860972018081,-4.01800712550758,6.91994310740807e-05,0.000130827501689132,0.70925799667481
"cg20748073","TGFB1",-0.0815949464755631,0.838540363353516,-3.96226139763443,8.68039132990537e-05,0.000161773081240771,0.495458828626441
"cg00472722","DUSP4",-0.0660198809989377,0.872081522785766,-3.95974888288457,8.76897856090089e-05,0.000163319171089204,0.485888056919691
"cg14180511","IL10",-0.0998579603172532,0.703832242314817,-3.92456314536226,0.0001010320008228,0.000186501182594051,0.352450499658727
"cg27130302","DUSP4",0.118124213287705,0.157890948953626,3.92357773309439,0.000101432010094891,0.000187180871127936,0.348729401242758
"cg01955533","CDKN1A",-0.101622328326936,0.433095040557378,-3.86560425627479,0.000127792126402155,0.000232516039949218,0.131343542278038
"cg06825478","TNF",-0.0669182769426093,0.851572284249432,-3.76984474356774,0.000185996394933224,0.000330543243469289,-0.221110998230913
"cg06236559","SMAD2",-0.135521506970175,0.717484884383438,-3.76395071280265,0.000190294533887052,0.000337677484620785,-0.242534533729522
"cg17744604","IL10",-0.111328591931327,0.747243468520325,-3.72218754132501,0.000223542315049177,0.000392490767071095,-0.39343499691643
"cg14881393","MAPK8",-0.0684518581872456,0.875460483502543,-3.69114572534606,0.00025172164510278,0.000438398193144234,-0.504573622018269
"cg15474579","CDKN1A",-0.0643750681031881,0.262693387104818,-3.67076421677449,0.000272006814623013,0.000471619315275643,-0.577070114168866
"cg02486855","SMAD3",-0.0890311606021034,0.240968605689429,-3.66599513545632,0.000276970447278738,0.000479581839164078,-0.593979180366878
"cg23485307","TGFBR2",0.0690360177806339,0.752893721490169,3.66193132933734,0.000281267122686702,0.000486492830967338,-0.608371353439937
"cg08526705","MYC",-0.0758012973412962,0.889373406579052,-3.65011785880708,0.000294116187671405,0.000507189249584896,-0.650124162492436
"cg14105680","IL37",-0.0812034553940938,0.822807064076319,-3.64504641230147,0.000299799757814105,0.000516364051267858,-0.668009467669672
"cg13442201","DUSP10",-0.0877270491967716,0.82802078228032,-3.6110311580259,0.000340672084095811,0.00058184164268596,-0.787365373342673
"cg25655593","SNAI1",0.138768040002581,0.364288866095975,3.59127963078204,0.000366748962694289,0.000623328776566748,-0.856187993055975
"cg06771106","IL37",-0.0607210994590188,0.862804102375045,-3.5879114571603,0.000371378516234672,0.000630706403430812,-0.867888646359338
"cg21814995","TGFBR2",-0.0876160783534183,0.748965040516844,-3.57694886701539,0.00038682901637517,0.000655243953485616,-0.905899824187332
"cg17452384","MAPK10",-0.0803067116415971,0.822061767734116,-3.56641107860404,0.000402247283359628,0.000679670707818751,-0.942334738026398
"cg07309102","KLF4",0.103797342127235,0.110176815846165,3.51895196245143,0.000479099931828507,0.000800591358554718,-1.10517023499843
"cg13894301","KLF4",0.0801044471389082,0.0917604236919281,3.51367181359172,0.000488452360419935,0.000815174880311688,-1.12315951706591
"cg03480935","SMAD3",-0.0633332257446943,0.672861027115318,-3.5106963202396,0.000493797671339601,0.000823589596124221,-1.13328568144389
"cg22722777","MAPK10",-0.095515710240468,0.462923326706031,-3.47067802976419,0.000571215806244418,0.00094362759596055,-1.26868778306607
"cg07259660","MAPK8",-0.0735093734806665,0.785450068294176,-3.44277387302198,0.00063175719612086,0.00103659965866651,-1.3622329645448
"cg12721804","DUSP4",-0.0817959895623215,0.613394432090513,-3.44249294312275,0.000632396092473178,0.00103758368542179,-1.36317111372151
"cg13983578","DUSP4",0.0900995231439384,0.0983344425167843,3.39414329539034,0.000751796697933633,0.00121954626020013,-1.52355182793188
"cg08777490","DUSP4",0.0777600829832353,0.149916858700769,3.38995526512965,0.000763071710702436,0.00123661487394922,-1.53734278895168
"cg19687358","DUSP4",0.08164035107913,0.196040141846175,3.37813708099397,0.000795743914515607,0.00128588395247503,-1.57617238149048
"cg00492574","KLF4",-0.0521881258481729,0.857917284227323,-3.35542766379788,0.000862212510689294,0.00138618892931403,-1.65042490779652
"cg00936146","DUSP4",0.0754660384353878,0.108002508244429,3.33707099703279,0.000919678599542461,0.00147261040402734,-1.71009789935385
"cg13273799","DUSP4",0.0603624531695212,0.0753481198243093,3.31354065019308,0.000998552386370643,0.00159047842788953,-1.78613453667836
"cg19856420","IL37",-0.0571904929831721,0.848106164266776,-3.27862595880111,0.00112722882658429,0.00178087864600279,-1.89801634415552
"cg00604410","SMAD3",-0.0762157488787722,0.666100254791644,-3.27176073519568,0.00115427438174895,0.00182074234270994,-1.91988288212396
"cg25751295","DUSP4",0.0772715799087954,0.0814996521352196,3.2604015337524,0.00120034914942957,0.00188872346650301,-1.95596747375034
"cg03294491","SMAD2",-0.11744705459202,0.671305209298344,-3.23236704742435,0.00132145591935734,0.00206672650488299,-2.04451279833393
"cg03032677","CDKN1A",-0.102784603290593,0.652689189988705,-3.2055358083909,0.00144787043971828,0.00225048076145906,-2.12857540890753
"cg00163372","MYC",-0.0903566146604563,0.883291986548468,-3.13092986297593,0.00186051214469443,0.00284611581358836,-2.35880236875001
"cg02137984","TNF",-0.054081251543566,0.871822734898771,-3.12545061035209,0.00189473352217423,0.00289493331848694,-2.37550673310315
"cg25601829","SMAD3",-0.0625721118371587,0.468234594930628,-3.1130566602585,0.00197429238094501,0.00300900349706053,-2.41318847101203
"cg17184477","SMAD3",-0.0617293353048156,0.361504807202145,-3.05748294663858,0.00237027718225806,0.00357100704083496,-2.58039002628666
"cg25594736","SMAD3",-0.118242368175634,0.533842788318474,-3.04436319378899,0.00247383820431165,0.00371627398092384,-2.61944202948987
"cg03267342","KLF4",0.0499777562843557,0.105263691728182,2.99495092917739,0.00290226541381571,0.00431413814206818,-2.76507697948311
"cg19384032","DUSP4",0.0676260954032184,0.162626050904919,2.9256721032238,0.00361779374708456,0.00530186489943059,-2.96541396842649
"cg18014042","CDKN1A",-0.0529600964452963,0.926237745583567,-2.89351875806653,0.00400173601729415,0.00582852758756732,-3.05686258890877
"cg00782124","DUSP4",0.0608449702667126,0.0810606263141492,2.88064799278992,0.00416556544602407,0.00605075563039572,-3.09319643333365
"cg13662121","CDKN1A",-0.074644394832828,0.397331699019982,-2.84852746351178,0.00460139123847196,0.00664034214193986,-3.18319182397654
"cg26422018","DUSP4",0.0633948719660001,0.126810643800104,2.82913727858444,0.00488414628342432,0.00702136833580479,-3.23704888708272
"cg06827361","CDKN1A",-0.0583972013535514,0.560877448610555,-2.79117091719789,0.00548390661044902,0.00782190014741536,-3.34147525986002
"cg14228788","SNAI1",0.0622216488743703,0.76028547084573,2.78791747917856,0.00553828419961199,0.00789451805052881,-3.35036054751294
"cg24260218","DUSP4",0.0478382326402167,0.0585785650588066,2.76646504432151,0.0059092303664623,0.00838789624916465,-3.40869781582486
"cg19615017","TGFBR2",-0.0541376251856402,0.799008079360863,-2.75869135787441,0.00604910104874369,0.00857276659969288,-3.42973005907959
"cg05460965","CDKN1A",-0.0496522418164801,0.364224319077366,-2.75242409188118,0.0061640384560752,0.00872468350253238,-3.44664498199797
"cg22013170","DUSP4",0.0617339371037691,0.0741742001262787,2.75150522765776,0.00618105467548976,0.00874719069524632,-3.44912181196464
"cg06784602","TGFBR2",-0.0654684389005341,0.283481327042476,-2.73252369087374,0.00654219726326181,0.00922413154617874,-3.50010854566179
"cg01576531","DUSP4",0.0666017506240534,0.0845428061490631,2.72996755740501,0.00659225838501267,0.00928902758627751,-3.50694858912992
"cg03501387","SNAI1",-0.0685108157267047,0.697730170546062,-2.67897697440271,0.00766585117131888,0.0106979257183579,-3.64210315298154
"cg05972070","DUSP4",0.0514117898098251,0.108825164210825,2.63291699261671,0.0087681541708509,0.0121288467516594,-3.76206950159962
"cg26562772","DUSP10",-0.0872493286444861,0.460927425938114,-2.56959800840741,0.0105151324151072,0.0143795156920899,-3.92369817367274
"cg06846320","SMAD3",-0.06049600574616,0.63060617586877,-2.53010281032412,0.0117562301746678,0.0159589837829363,-4.02258163163158
"cg04214946","CDKN1A",0.0668901524802674,0.749211046539038,2.44201104131128,0.0150046336407271,0.0200536000994075,-4.23777492505797
"cg15801573","MYC",-0.0830507190128623,0.42360746306079,-2.43900304012526,0.0151283616106104,0.0202074889299888,-4.24499206943306
"cg05573997","DUSP4",0.0632273245919905,0.212731373688967,2.41028145269197,0.0163559187494488,0.0217368585275977,-4.31346832381624
"cg03939688","KLF4",0.0668709991702793,0.16432659681815,2.34962789209219,0.0192402091674801,0.0253145491009508,-4.45547925720074
"cg11688275","MYC",-0.10090967756263,0.372017475795227,-2.26718184862851,0.0238711245935704,0.0309830320867391,-4.64285431041866
"cg24429337","IL37",-0.044446703260649,0.78073939303035,-2.25369825731491,0.0247143060721013,0.0320144639821306,-4.67287692119562
"cg13724812","TGFBR2",-0.0396916544293274,0.819200511540615,-2.2321831445483,0.0261133543341546,0.0337014806534417,-4.72042026876755
"cg10308810","MAPK8",0.0643414697694038,0.695974627555298,2.20625259161096,0.027890373560479,0.0358416025190715,-4.77712842241184
"cg05074709","TGFBR2",-0.0475988437817703,0.800264927769345,-2.11851083209144,0.03470045530331,0.0440017067640343,-4.96420484778098
"cg24425727","CDKN1A",-0.0337723005504271,0.193111598404219,-2.05874235597111,0.0401162670744548,0.0503857745948605,-5.08738115380573
"cg21718735","SMAD7",0.0513738901391376,0.359341415301584,2.0130406018853,0.044728453492995,0.0557926538913223,-5.17923538897873
"cg04806553","CDKN1A",-0.0363657730109485,0.936709267104964,-2.00044108860914,0.0460762613614276,0.0573620727020732,-5.20420288079596
"cg12225220","MAPK10",0.0454812064048312,0.169520361940386,1.96575311379743,0.0499653935310155,0.0618856368278403,-5.27214619971602
"cg11507895","MAPK10",-0.0428983431578138,0.352004679042981,-1.95575983459153,0.0511357809506534,0.0632475783057177,-5.29150345670376
"cg21370522","TNF",-0.0496336403251995,0.637849960801087,-1.87547446099136,0.0613998047789112,0.0751013171386297,-5.44349890911661
"cg14283454","SMAD7",0.0300789753857619,0.672079180001027,1.83925435074951,0.0665619048010096,0.0809610216559021,-5.51001908063773
"cg04614483","TGFB1",-0.0503360082911662,0.467872254976009,-1.76568644567776,0.0781527981861544,0.0941175165214345,-5.64119767212913
"cg09774179","CDKN1A",-0.042485876760286,0.894782523723447,-1.71378766709662,0.0872830337442342,0.104393634337951,-5.73056324795694
"cg05438378","SMAD3",0.0457409188485461,0.531460171454499,1.68538300447972,0.092634785428737,0.110364616398714,-5.77836027151138
"cg04916416","TGFBR2",-0.0290342925735958,0.846393285107316,-1.6832297760603,0.0930510296037769,0.110824380961108,-5.78195140392733
"cg00445232","SMAD3",0.0449209529138094,0.404530555904594,1.6589744955744,0.0978446544797076,0.116149032866178,-5.82209106911834
"cg01512155","MAPK8",-0.0294065420631926,0.213050481944079,-1.55945217441805,0.119619565264014,0.1402552477525,-5.98076283184117
"cg18432895","DUSP4",-0.0343457445492688,0.580299129018233,-1.36185522963734,0.173951295334577,0.199186549458863,-6.26701118775856
"cg11645306","SMAD7",0.0256268642662682,0.266273455292332,1.33569016893262,0.182351830112027,0.208137538544313,-6.30203803132354
"cg00234613","MAPK10",0.0218777489008691,0.883944011933611,1.33502991666719,0.182567648329063,0.20835132239106,-6.30291318652578
"cg22799396","CCDC110",-0.0366706177432615,0.546793966951817,-1.28076547423747,0.200961270729595,0.227900179736657,-6.37337244498948
"cg01564322","KLF4",0.0377965488036646,0.261019252756127,1.23127951763655,0.218886315990525,0.246815765817052,-6.43509757740246
"cg19679123","SMAD3",-0.0165950168121598,0.868181454707498,-1.06510268428169,0.287422710785858,0.318351629198354,-6.62469021584652
"cg07946977","DUSP10",0.0238738529262587,0.712623793160324,1.05659313752694,0.291286135234511,0.322344301830882,-6.63366444624045
"cg09417692","TGFBR2",-0.033071297361729,0.343153195645456,-1.02373380070931,0.306532310147849,0.338103487959232,-6.66764586418836
"cg15526708","TGFBR1",0.0231928742700723,0.530153752914864,1.01331961417132,0.31147310691986,0.343226155617355,-6.67819274202778
"cg24420395","DUSP4",0.0185689592943285,0.157057120670475,0.929086993851404,0.353361369166689,0.386013679658781,-6.75955248271273
"cg11037750","TGFB1",-0.0176712502119874,0.736358978390572,-0.82194557282842,0.411559993560757,0.444996538750117,-6.85288165238203
"cg27273675","TGFBRAP1",-0.0139161799487754,0.739090444213916,-0.77276971758868,0.440080066588986,0.473412761940497,-6.89190591632457
"cg03078972","SNAI1",0.0135654164411068,0.365266758191238,0.633440668031376,0.526780166790934,0.558903932796288,-6.98943400657117
"cg10170847","TGFB1",-0.0140128689612654,0.732265256451913,-0.625206424983096,0.532164755042307,0.564187419524101,-6.99459423900936
"cg06203649","SMAD7",-0.0135638435897136,0.539529180001587,-0.57305269462399,0.566906322530082,0.597895959764764,-7.0257124353626
"cg09926389","TGFB1",-0.0197013935982367,0.625247903547657,-0.502128880267646,0.615831972147975,0.645000877255498,-7.06368955964114
"cg19430553","SMAD7",-0.00856299058252306,0.833775913787704,-0.486710439625876,0.626709678093279,0.655470289094958,-7.07128338226188
"cg21908420","DUSP10",0.0084328478356299,0.888385681250149,0.430055797275685,0.667368887416835,0.694269832150031,-7.09715491904491
"cg13827209","TGFBR1",0.00528425857164673,0.744078862648114,0.292077903047596,0.770366876272355,0.791282388691694,-7.14679490037795
"cg01192746","MAPK9",0.0039005494523244,0.660330978069967,0.212512130793953,0.831807466799853,0.848357283195735,-7.16679996104895
"cg16100135","MYC",-0.00612646825106155,0.27487192488531,-0.196311122613785,0.8444587075357,0.859865264399207,-7.17010043359118
"cg10780949","SMAD3",-0.000219290161319622,0.257072745805551,-0.0120631168849939,0.99038081169019,0.991499320228971,-7.1892327698059
